"2021-07-22";"10:19:40";"WinControl (rev 1112) report file"
"Datetime";"Date";"Time";"Type";"No.";"1:F";"1:Fm'";"1:PAR";"1:Y (II)";"1:ETR"
"2021-07-19 20:46:50.000";"2021-07-19";"20:46:50";"F";"1155";"409";"1370";"1";"0.701";"0.3"
"2021-07-19 20:47:06.000";"2021-07-19";"20:47:06";"F";"1156";"310";"1024";"0";"0.697";"0.0"
"2021-07-19 20:47:17.000";"2021-07-19";"20:47:17";"F";"1157";"493";"1624";"1";"0.696";"0.3"
"2021-07-19 20:47:25.000";"2021-07-19";"20:47:25";"F";"1158";"346";"1156";"1";"0.701";"0.3"
"2021-07-19 20:47:39.000";"2021-07-19";"20:47:39";"F";"1159";"304";"938";"0";"0.676";"0.0"
"2021-07-19 20:47:46.000";"2021-07-19";"20:47:46";"F";"1160";"326";"1101";"1";"0.704";"0.3"
"2021-07-19 20:47:53.000";"2021-07-19";"20:47:53";"F";"1161";"350";"1050";"1";"0.667";"0.3"
"2021-07-19 20:47:58.000";"2021-07-19";"20:47:58";"F";"1162";"370";"1177";"2";"0.686";"0.6"
"2021-07-19 20:48:05.000";"2021-07-19";"20:48:05";"F";"1163";"374";"1211";"2";"0.691";"0.6"
"2021-07-19 20:48:21.000";"2021-07-19";"20:48:21";"F";"1164";"607";"1813";"0";"0.665";"0.0"
"2021-07-19 20:48:27.000";"2021-07-19";"20:48:27";"F";"1165";"507";"1402";"1";"0.638";"0.3"
"2021-07-19 20:48:51.000";"2021-07-19";"20:48:51";"F";"1166";"606";"1886";"1";"0.679";"0.3"
"2021-07-19 20:49:25.000";"2021-07-19";"20:49:25";"F";"1167";"635";"1775";"1";"0.642";"0.3"
"2021-07-19 20:49:33.000";"2021-07-19";"20:49:33";"F";"1168";"408";"985";"3";"0.586";"0.7"
"2021-07-19 20:49:42.000";"2021-07-19";"20:49:42";"F";"1169";"600";"1646";"2";"0.635";"0.5"
"2021-07-19 20:49:55.000";"2021-07-19";"20:49:55";"F";"1170";"495";"1436";"2";"0.655";"0.6"
"2021-07-19 20:50:05.000";"2021-07-19";"20:50:05";"F";"1171";"530";"1487";"2";"0.644";"0.5"
"2021-07-19 20:50:13.000";"2021-07-19";"20:50:13";"F";"1172";"728";"1850";"2";"0.606";"0.5"
"2021-07-20 20:34:32.000";"2021-07-20";"20:34:32";"F";"1173";"9";"12";"1204";"-";"-"
"2021-07-20 20:44:17.000";"2021-07-20";"20:44:17";"F";"1174";"0";"0";"5";"-";"-"
"2021-07-20 20:44:28.000";"2021-07-20";"20:44:28";"F";"1175";"0";"0";"7";"-";"-"
"2021-07-20 20:44:44.000";"2021-07-20";"20:44:44";"F";"1176";"0";"0";"3";"-";"-"
"2021-07-20 20:44:59.000";"2021-07-20";"20:44:59";"F";"1177";"0";"0";"4";"-";"-"
"2021-07-20 20:46:11.000";"2021-07-20";"20:46:11";"F";"1178";"5";"6";"1";"-";"-"
"2021-07-20 20:49:55.998";"2021-07-20";"20:49:55";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=11;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-20 20:49:56.000";"2021-07-20";"20:49:56";"F";"1180";"327";"883";"2";"0.630";"0.5"
"2021-07-20 20:50:25.000";"2021-07-20";"20:50:25";"F";"1181";"428";"907";"0";"0.528";"0.0"
"2021-07-20 20:50:41.000";"2021-07-20";"20:50:41";"F";"1182";"461";"1092";"0";"0.578";"0.0"
"2021-07-20 20:51:41.000";"2021-07-20";"20:51:41";"F";"1183";"315";"861";"0";"0.634";"0.0"
"2021-07-20 20:51:51.000";"2021-07-20";"20:51:51";"F";"1184";"314";"986";"1";"0.682";"0.3"
"2021-07-20 20:51:59.000";"2021-07-20";"20:51:59";"F";"1185";"398";"1045";"1";"0.619";"0.3"
"2021-07-20 20:52:10.000";"2021-07-20";"20:52:10";"F";"1186";"296";"881";"1";"0.664";"0.3"
"2021-07-20 20:52:16.000";"2021-07-20";"20:52:16";"F";"1187";"366";"1015";"1";"0.639";"0.3"
"2021-07-20 20:52:23.000";"2021-07-20";"20:52:23";"F";"1188";"338";"909";"2";"0.628";"0.5"
"2021-07-20 20:52:35.000";"2021-07-20";"20:52:35";"F";"1189";"383";"1016";"1";"0.623";"0.3"
"2021-07-20 20:52:42.000";"2021-07-20";"20:52:42";"F";"1190";"357";"1111";"1";"0.679";"0.3"
"2021-07-20 20:53:06.000";"2021-07-20";"20:53:06";"F";"1191";"397";"1081";"0";"0.633";"0.0"
"2021-07-20 20:53:30.000";"2021-07-20";"20:53:30";"F";"1192";"307";"823";"0";"0.627";"0.0"
"2021-07-20 20:53:40.000";"2021-07-20";"20:53:40";"F";"1193";"314";"882";"1";"0.644";"0.3"
"2021-07-20 20:53:53.000";"2021-07-20";"20:53:53";"F";"1194";"408";"1253";"1";"0.674";"0.3"
"2021-07-20 20:54:19.000";"2021-07-20";"20:54:19";"F";"1195";"372";"1087";"0";"0.658";"0.0"
"2021-07-20 20:54:27.000";"2021-07-20";"20:54:27";"F";"1196";"312";"948";"1";"0.671";"0.3"
"2021-07-20 20:54:35.000";"2021-07-20";"20:54:35";"F";"1197";"324";"957";"1";"0.661";"0.3"
"2021-07-20 20:54:46.000";"2021-07-20";"20:54:46";"F";"1198";"340";"907";"1";"0.625";"0.3"
"2021-07-20 20:54:54.000";"2021-07-20";"20:54:54";"F";"1199";"375";"1112";"1";"0.663";"0.3"
"2021-07-20 20:55:04.000";"2021-07-20";"20:55:04";"F";"1200";"370";"1044";"1";"0.646";"0.3"
"2021-07-20 20:55:55.000";"2021-07-20";"20:55:55";"F";"1201";"297";"794";"0";"0.626";"0.0"
"2021-07-20 20:56:03.000";"2021-07-20";"20:56:03";"F";"1202";"347";"1006";"1";"0.655";"0.3"
"2021-07-20 20:56:26.000";"2021-07-20";"20:56:26";"F";"1203";"369";"1245";"0";"0.704";"0.0"
"2021-07-20 20:56:53.000";"2021-07-20";"20:56:53";"F";"1204";"383";"916";"0";"0.582";"0.0"
"2021-07-20 20:57:38.000";"2021-07-20";"20:57:38";"F";"1205";"349";"1086";"0";"0.679";"0.0"
"2021-07-20 20:58:23.000";"2021-07-20";"20:58:23";"F";"1206";"478";"1257";"0";"0.620";"0.0"
"2021-07-20 20:58:45.000";"2021-07-20";"20:58:45";"F";"1207";"311";"972";"0";"0.680";"0.0"
"2021-07-20 20:58:59.000";"2021-07-20";"20:58:59";"F";"1208";"312";"978";"1";"0.681";"0.3"
"2021-07-20 20:59:11.000";"2021-07-20";"20:59:11";"F";"1209";"398";"1240";"2";"0.679";"0.6"
"2021-07-20 20:59:19.000";"2021-07-20";"20:59:19";"F";"1210";"381";"950";"1";"0.599";"0.3"
"2021-07-20 20:59:26.000";"2021-07-20";"20:59:26";"F";"1211";"344";"972";"1";"0.646";"0.3"
"2021-07-20 20:59:39.000";"2021-07-20";"20:59:39";"F";"1212";"365";"1060";"2";"0.656";"0.6"
"2021-07-20 20:59:53.000";"2021-07-20";"20:59:53";"F";"1213";"384";"1044";"1";"0.632";"0.3"
"2021-07-20 21:00:02.000";"2021-07-20";"21:00:02";"F";"1214";"411";"1206";"2";"0.659";"0.6"
"2021-07-20 21:00:11.000";"2021-07-20";"21:00:11";"F";"1215";"356";"1077";"3";"0.669";"0.8"
"2021-07-20 21:01:26.000";"2021-07-20";"21:01:26";"F";"1216";"551";"1471";"1";"0.625";"0.3"
"2021-07-20 21:03:28.000";"2021-07-20";"21:03:28";"F";"1217";"711";"1876";"0";"0.621";"0.0"
"2021-07-20 21:04:39.000";"2021-07-20";"21:04:39";"F";"1218";"647";"2076";"0";"0.688";"0.0"
"2021-07-20 21:04:50.000";"2021-07-20";"21:04:50";"F";"1219";"605";"1621";"1";"0.627";"0.3"
"2021-07-20 21:05:03.000";"2021-07-20";"21:05:03";"F";"1220";"511";"1121";"1";"0.544";"0.2"
"2021-07-20 21:05:12.000";"2021-07-20";"21:05:12";"F";"1221";"473";"1411";"1";"0.665";"0.3"
"2021-07-20 21:05:23.000";"2021-07-20";"21:05:23";"F";"1222";"549";"1272";"1";"0.568";"0.2"
"2021-07-20 21:05:30.000";"2021-07-20";"21:05:30";"F";"1223";"499";"1253";"1";"0.602";"0.3"
"2021-07-20 21:05:50.000";"2021-07-20";"21:05:50";"F";"1224";"360";"1158";"0";"0.689";"0.0"
"2021-07-20 21:06:00.000";"2021-07-20";"21:06:00";"F";"1225";"401";"1208";"1";"0.668";"0.3"
"2021-07-20 21:06:07.000";"2021-07-20";"21:06:07";"F";"1226";"401";"1184";"1";"0.661";"0.3"
"2021-07-20 21:06:24.000";"2021-07-20";"21:06:24";"F";"1227";"470";"1354";"0";"0.653";"0.0"
"2021-07-20 21:06:32.000";"2021-07-20";"21:06:32";"F";"1228";"393";"1214";"1";"0.676";"0.3"
"2021-07-20 21:06:40.000";"2021-07-20";"21:06:40";"F";"1229";"316";"949";"1";"0.667";"0.3"
"2021-07-20 21:06:47.000";"2021-07-20";"21:06:47";"F";"1230";"361";"1085";"1";"0.667";"0.3"
"2021-07-20 21:06:55.000";"2021-07-20";"21:06:55";"F";"1231";"386";"1130";"1";"0.658";"0.3"
"2021-07-20 21:07:05.000";"2021-07-20";"21:07:05";"F";"1232";"310";"925";"1";"0.665";"0.3"
"2021-07-20 21:07:12.000";"2021-07-20";"21:07:12";"F";"1233";"309";"970";"1";"0.681";"0.3"
"2021-07-20 21:07:50.000";"2021-07-20";"21:07:50";"F";"1234";"456";"1288";"0";"0.646";"0.0"
"2021-07-20 21:07:59.000";"2021-07-20";"21:07:59";"F";"1235";"387";"1176";"1";"0.671";"0.3"
"2021-07-20 21:08:05.000";"2021-07-20";"21:08:05";"F";"1236";"344";"1041";"1";"0.670";"0.3"
"2021-07-20 21:08:12.000";"2021-07-20";"21:08:12";"F";"1237";"402";"1235";"1";"0.674";"0.3"
"2021-07-20 21:08:30.000";"2021-07-20";"21:08:30";"F";"1238";"439";"1301";"0";"0.663";"0.0"
"2021-07-20 21:09:00.000";"2021-07-20";"21:09:00";"F";"1239";"258";"845";"1";"0.695";"0.3"
"2021-07-20 21:09:11.000";"2021-07-20";"21:09:11";"F";"1240";"322";"979";"1";"0.671";"0.3"
"2021-07-20 21:09:20.000";"2021-07-20";"21:09:20";"F";"1241";"346";"1080";"1";"0.680";"0.3"
"2021-07-20 21:09:28.000";"2021-07-20";"21:09:28";"F";"1242";"310";"971";"1";"0.681";"0.3"
"2021-07-20 21:09:49.000";"2021-07-20";"21:09:49";"F";"1243";"405";"1289";"0";"0.686";"0.0"
"2021-07-20 21:10:08.000";"2021-07-20";"21:10:08";"F";"1244";"355";"1158";"0";"0.693";"0.0"
"2021-07-20 21:10:25.000";"2021-07-20";"21:10:25";"F";"1245";"392";"1229";"0";"0.681";"0.0"
"2021-07-20 21:10:39.000";"2021-07-20";"21:10:39";"F";"1246";"459";"1482";"0";"0.690";"0.0"
"2021-07-20 21:10:48.000";"2021-07-20";"21:10:48";"F";"1247";"376";"1331";"1";"0.718";"0.3"
"2021-07-20 21:10:56.000";"2021-07-20";"21:10:56";"F";"1248";"399";"883";"1";"0.548";"0.2"
"2021-07-20 21:11:07.000";"2021-07-20";"21:11:07";"F";"1249";"299";"977";"1";"0.694";"0.3"
"2021-07-20 21:11:34.000";"2021-07-20";"21:11:34";"F";"1250";"495";"1592";"0";"0.689";"0.0"
"2021-07-20 21:11:41.000";"2021-07-20";"21:11:41";"F";"1251";"325";"1047";"1";"0.690";"0.3"
"2021-07-20 21:11:48.000";"2021-07-20";"21:11:48";"F";"1252";"331";"997";"1";"0.668";"0.3"
"2021-07-20 21:11:54.000";"2021-07-20";"21:11:54";"F";"1253";"354";"1147";"1";"0.691";"0.3"
"2021-07-20 21:12:00.000";"2021-07-20";"21:12:00";"F";"1254";"331";"1007";"1";"0.671";"0.3"
"2021-07-20 21:12:06.000";"2021-07-20";"21:12:06";"F";"1255";"361";"1172";"1";"0.692";"0.3"
"2021-07-20 21:12:12.000";"2021-07-20";"21:12:12";"F";"1256";"367";"1145";"1";"0.679";"0.3"
"2021-07-20 21:12:52.000";"2021-07-20";"21:12:52";"F";"1257";"666";"2018";"0";"0.670";"0.0"
"2021-07-20 21:13:02.000";"2021-07-20";"21:13:02";"F";"1258";"502";"1368";"1";"0.633";"0.3"
"2021-07-21 15:07:31.998";"2021-07-21";"15:07:31";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=8;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-21 15:07:32.000";"2021-07-21";"15:07:32";"F";"1260";"136";"233";"24";"0.416";"4.2"
"2021-07-21 15:07:55.000";"2021-07-21";"15:07:55";"F";"1261";"240";"452";"15";"0.469";"3.0"
"2021-07-21 15:08:02.000";"2021-07-21";"15:08:02";"F";"1262";"261";"411";"14";"0.365";"2.1"
"2021-07-21 15:08:10.000";"2021-07-21";"15:08:10";"F";"1263";"319";"686";"24";"0.535";"5.4"
"2021-07-21 15:08:17.000";"2021-07-21";"15:08:17";"F";"1264";"277";"911";"24";"0.696";"7.0"
"2021-07-21 15:08:23.000";"2021-07-21";"15:08:23";"F";"1265";"221";"557";"26";"0.603";"6.6"
"2021-07-21 15:08:32.000";"2021-07-21";"15:08:32";"F";"1266";"242";"794";"27";"0.695";"7.9"
"2021-07-21 15:08:41.000";"2021-07-21";"15:08:41";"F";"1267";"288";"693";"28";"0.584";"6.9"
"2021-07-21 15:08:47.000";"2021-07-21";"15:08:47";"F";"1268";"229";"459";"29";"0.501";"6.1"
"2021-07-21 15:08:55.000";"2021-07-21";"15:08:55";"F";"1269";"203";"334";"28";"0.392";"4.6"
"2021-07-21 15:09:03.000";"2021-07-21";"15:09:03";"F";"1270";"300";"996";"28";"0.699";"8.2"
"2021-07-21 15:09:09.000";"2021-07-21";"15:09:09";"F";"1271";"298";"604";"28";"0.507";"6.0"
"2021-07-21 15:09:15.000";"2021-07-21";"15:09:15";"F";"1272";"262";"639";"28";"0.590";"6.9"
"2021-07-21 15:09:24.000";"2021-07-21";"15:09:24";"F";"1273";"231";"556";"29";"0.585";"7.1"
"2021-07-21 15:09:31.000";"2021-07-21";"15:09:31";"F";"1274";"307";"749";"28";"0.590";"6.9"
"2021-07-21 15:09:55.000";"2021-07-21";"15:09:55";"F";"1275";"334";"747";"27";"0.553";"6.3"
"2021-07-21 15:10:08.000";"2021-07-21";"15:10:08";"F";"1276";"166";"477";"28";"0.652";"7.7"
"2021-07-21 15:10:16.000";"2021-07-21";"15:10:16";"F";"1277";"256";"615";"28";"0.584";"6.9"
"2021-07-21 15:10:26.000";"2021-07-21";"15:10:26";"F";"1278";"317";"880";"26";"0.640";"7.0"
"2021-07-21 15:10:35.000";"2021-07-21";"15:10:35";"F";"1279";"308";"958";"25";"0.678";"7.1"
"2021-07-21 15:10:42.000";"2021-07-21";"15:10:42";"F";"1280";"293";"870";"25";"0.663";"7.0"
"2021-07-21 15:10:49.000";"2021-07-21";"15:10:49";"F";"1281";"271";"473";"26";"0.427";"4.7"
"2021-07-21 15:10:57.000";"2021-07-21";"15:10:57";"F";"1282";"326";"681";"26";"0.521";"5.7"
"2021-07-21 15:11:04.000";"2021-07-21";"15:11:04";"F";"1283";"318";"1095";"26";"0.710";"7.8"
"2021-07-21 15:11:11.000";"2021-07-21";"15:11:11";"F";"1284";"336";"1055";"26";"0.682";"7.4"
"2021-07-21 15:11:17.000";"2021-07-21";"15:11:17";"F";"1285";"267";"863";"27";"0.691";"7.8"
"2021-07-21 15:11:25.000";"2021-07-21";"15:11:25";"F";"1286";"260";"494";"27";"0.474";"5.4"
"2021-07-21 15:11:33.000";"2021-07-21";"15:11:33";"F";"1287";"168";"459";"25";"0.634";"6.7"
"2021-07-21 15:11:41.000";"2021-07-21";"15:11:41";"F";"1288";"246";"792";"23";"0.689";"6.7"
"2021-07-21 15:11:52.000";"2021-07-21";"15:11:52";"F";"1289";"314";"1032";"22";"0.696";"6.4"
"2021-07-21 15:11:59.000";"2021-07-21";"15:11:59";"F";"1290";"186";"287";"22";"0.352";"3.3"
"2021-07-21 15:12:06.000";"2021-07-21";"15:12:06";"F";"1291";"195";"390";"23";"0.500";"4.8"
"2021-07-21 15:12:14.000";"2021-07-21";"15:12:14";"F";"1292";"219";"480";"23";"0.544";"5.3"
"2021-07-21 15:12:24.000";"2021-07-21";"15:12:24";"F";"1293";"279";"734";"25";"0.620";"6.5"
"2021-07-21 15:12:32.000";"2021-07-21";"15:12:32";"F";"1294";"293";"922";"27";"0.682";"7.7"
"2021-07-21 15:12:39.000";"2021-07-21";"15:12:39";"F";"1295";"280";"895";"28";"0.687";"8.1"
"2021-07-21 15:12:45.000";"2021-07-21";"15:12:45";"F";"1296";"2";"2";"28";"-";"-"
"2021-07-21 15:12:58.000";"2021-07-21";"15:12:58";"F";"1297";"317";"1003";"27";"0.684";"7.8"
"2021-07-21 15:13:04.000";"2021-07-21";"15:13:04";"F";"1298";"321";"1001";"26";"0.679";"7.4"
"2021-07-21 15:13:11.000";"2021-07-21";"15:13:11";"F";"1299";"304";"979";"27";"0.689";"7.8"
"2021-07-21 15:13:17.000";"2021-07-21";"15:13:17";"F";"1300";"357";"1105";"28";"0.677";"8.0"
"2021-07-21 15:13:24.000";"2021-07-21";"15:13:24";"F";"1301";"314";"1027";"28";"0.694";"8.2"
"2021-07-21 15:13:30.000";"2021-07-21";"15:13:30";"F";"1302";"333";"1103";"28";"0.698";"8.2"
"2021-07-21 15:13:40.000";"2021-07-21";"15:13:40";"F";"1303";"294";"897";"28";"0.672";"7.9"
"2021-07-21 15:13:47.000";"2021-07-21";"15:13:47";"F";"1304";"320";"931";"28";"0.656";"7.7"
"2021-07-21 15:13:53.000";"2021-07-21";"15:13:53";"F";"1305";"300";"932";"28";"0.678";"8.0"
"2021-07-21 15:14:00.000";"2021-07-21";"15:14:00";"F";"1306";"317";"1024";"28";"0.690";"8.1"
"2021-07-21 15:14:05.000";"2021-07-21";"15:14:05";"F";"1307";"351";"1005";"28";"0.651";"7.7"
"2021-07-21 15:14:11.000";"2021-07-21";"15:14:11";"F";"1308";"298";"935";"28";"0.681";"8.0"
"2021-07-21 15:14:18.000";"2021-07-21";"15:14:18";"F";"1309";"270";"791";"26";"0.659";"7.2"
"2021-07-21 15:14:25.000";"2021-07-21";"15:14:25";"F";"1310";"326";"983";"24";"0.668";"6.7"
"2021-07-21 15:14:31.000";"2021-07-21";"15:14:31";"F";"1311";"390";"1194";"25";"0.673";"7.1"
"2021-07-21 15:14:38.000";"2021-07-21";"15:14:38";"F";"1312";"245";"814";"25";"0.699";"7.3"
"2021-07-21 15:14:45.000";"2021-07-21";"15:14:45";"F";"1313";"292";"917";"26";"0.682";"7.4"
"2021-07-21 15:14:51.000";"2021-07-21";"15:14:51";"F";"1314";"276";"866";"26";"0.681";"7.4"
"2021-07-21 15:15:00.000";"2021-07-21";"15:15:00";"F";"1315";"287";"940";"27";"0.695";"7.9"
"2021-07-21 15:15:07.000";"2021-07-21";"15:15:07";"F";"1316";"323";"1035";"27";"0.688";"7.8"
"2021-07-21 15:15:14.000";"2021-07-21";"15:15:14";"F";"1317";"403";"1290";"28";"0.688";"8.1"
"2021-07-21 15:15:19.000";"2021-07-21";"15:15:19";"F";"1318";"369";"1136";"28";"0.675";"7.9"
"2021-07-21 15:15:27.000";"2021-07-21";"15:15:27";"F";"1319";"381";"1228";"28";"0.690";"8.1"
"2021-07-21 15:15:34.000";"2021-07-21";"15:15:34";"F";"1320";"308";"1083";"28";"0.716";"8.4"
"2021-07-21 15:15:41.000";"2021-07-21";"15:15:41";"F";"1321";"328";"1068";"28";"0.693";"8.1"
"2021-07-21 15:15:49.000";"2021-07-21";"15:15:49";"F";"1322";"249";"797";"28";"0.688";"8.1"
"2021-07-21 15:15:57.000";"2021-07-21";"15:15:57";"F";"1323";"369";"1211";"28";"0.695";"8.2"
"2021-07-21 15:16:02.000";"2021-07-21";"15:16:02";"F";"1324";"294";"978";"28";"0.699";"8.2"
"2021-07-21 15:16:08.000";"2021-07-21";"15:16:08";"F";"1325";"218";"681";"28";"0.680";"8.0"
"2021-07-21 15:16:15.000";"2021-07-21";"15:16:15";"F";"1326";"275";"875";"28";"0.686";"8.1"
"2021-07-21 15:16:22.000";"2021-07-21";"15:16:22";"F";"1327";"261";"810";"28";"0.678";"8.0"
"2021-07-21 15:16:28.000";"2021-07-21";"15:16:28";"F";"1328";"305";"1009";"28";"0.698";"8.2"
"2021-07-21 15:16:35.000";"2021-07-21";"15:16:35";"F";"1329";"273";"832";"28";"0.672";"7.9"
"2021-07-21 16:14:11.998";"2021-07-21";"16:14:11";"C";"";"MI=3;SI=10;SW=0.8;AI=1;AW=0:30;AF=1.00;G=2;D=1;EF=0.84;FO=9;CW=1:00;CI=1;LW=0:10;LI=3;ID=0:45;IW=0:20;DO0.0;DG1.00;LO=0;LG=1.12 ";""
"2021-07-21 16:14:12.000";"2021-07-21";"16:14:12";"F";"1331";"212";"485";"0";"0.563";"0.0"
"2021-07-21 16:14:18.000";"2021-07-21";"16:14:18";"F";"1332";"292";"669";"0";"0.564";"0.0"
"2021-07-21 16:14:26.000";"2021-07-21";"16:14:26";"F";"1333";"326";"630";"0";"0.483";"0.0"
"2021-07-21 16:14:32.000";"2021-07-21";"16:14:32";"F";"1334";"424";"1059";"0";"0.600";"0.0"
"2021-07-21 16:14:39.000";"2021-07-21";"16:14:39";"F";"1335";"283";"935";"0";"0.697";"0.0"
"2021-07-21 16:14:46.000";"2021-07-21";"16:14:46";"F";"1336";"255";"713";"0";"0.642";"0.0"
"2021-07-21 16:14:52.000";"2021-07-21";"16:14:52";"F";"1337";"257";"827";"0";"0.689";"0.0"
"2021-07-21 16:14:57.000";"2021-07-21";"16:14:57";"F";"1338";"350";"901";"0";"0.612";"0.0"
"2021-07-21 16:15:03.000";"2021-07-21";"16:15:03";"F";"1339";"315";"782";"0";"0.597";"0.0"
"2021-07-21 16:15:09.000";"2021-07-21";"16:15:09";"F";"1340";"289";"683";"0";"0.577";"0.0"
"2021-07-21 16:15:16.000";"2021-07-21";"16:15:16";"F";"1341";"320";"1043";"0";"0.693";"0.0"
"2021-07-21 16:15:22.000";"2021-07-21";"16:15:22";"F";"1342";"363";"930";"0";"0.610";"0.0"
"2021-07-21 16:15:28.000";"2021-07-21";"16:15:28";"F";"1343";"327";"871";"0";"0.625";"0.0"
"2021-07-21 16:15:34.000";"2021-07-21";"16:15:34";"F";"1344";"289";"798";"0";"0.638";"0.0"
"2021-07-21 16:15:46.000";"2021-07-21";"16:15:46";"F";"1345";"355";"909";"0";"0.609";"0.0"
"2021-07-21 16:15:53.000";"2021-07-21";"16:15:53";"F";"1346";"442";"1174";"0";"0.624";"0.0"
"2021-07-21 16:15:59.000";"2021-07-21";"16:15:59";"F";"1347";"197";"598";"0";"0.671";"0.0"
"2021-07-21 16:16:05.000";"2021-07-21";"16:16:05";"F";"1348";"216";"583";"0";"0.630";"0.0"
"2021-07-21 16:16:12.000";"2021-07-21";"16:16:12";"F";"1349";"348";"957";"0";"0.636";"0.0"
"2021-07-21 16:16:20.000";"2021-07-21";"16:16:20";"F";"1350";"300";"923";"0";"0.675";"0.0"
"2021-07-21 16:16:26.000";"2021-07-21";"16:16:26";"F";"1351";"317";"928";"0";"0.658";"0.0"
"2021-07-21 16:16:32.000";"2021-07-21";"16:16:32";"F";"1352";"380";"831";"0";"0.543";"0.0"
"2021-07-21 16:16:39.000";"2021-07-21";"16:16:39";"F";"1353";"415";"1055";"0";"0.607";"0.0"
"2021-07-21 16:16:44.000";"2021-07-21";"16:16:44";"F";"1354";"328";"1125";"0";"0.708";"0.0"
"2021-07-21 16:16:51.000";"2021-07-21";"16:16:51";"F";"1355";"328";"1034";"0";"0.683";"0.0"
"2021-07-21 16:16:59.000";"2021-07-21";"16:16:59";"F";"1356";"234";"746";"0";"0.686";"0.0"
"2021-07-21 16:17:05.000";"2021-07-21";"16:17:05";"F";"1357";"345";"791";"0";"0.564";"0.0"
"2021-07-21 16:17:13.000";"2021-07-21";"16:17:13";"F";"1358";"179";"510";"0";"0.649";"0.0"
"2021-07-21 16:17:20.000";"2021-07-21";"16:17:20";"F";"1359";"260";"828";"0";"0.686";"0.0"
"2021-07-21 16:17:25.000";"2021-07-21";"16:17:25";"F";"1360";"334";"1038";"0";"0.678";"0.0"
"2021-07-21 16:17:31.000";"2021-07-21";"16:17:31";"F";"1361";"281";"597";"0";"0.529";"0.0"
"2021-07-21 16:17:38.000";"2021-07-21";"16:17:38";"F";"1362";"298";"737";"0";"0.596";"0.0"
"2021-07-21 16:17:45.000";"2021-07-21";"16:17:45";"F";"1363";"291";"748";"0";"0.611";"0.0"
"2021-07-21 16:17:54.000";"2021-07-21";"16:17:54";"F";"1364";"237";"777";"0";"0.695";"0.0"
"2021-07-21 16:18:01.000";"2021-07-21";"16:18:01";"F";"1365";"337";"1063";"0";"0.683";"0.0"
"2021-07-21 16:18:06.000";"2021-07-21";"16:18:06";"F";"1366";"281";"872";"0";"0.678";"0.0"
"2021-07-21 16:18:12.000";"2021-07-21";"16:18:12";"F";"1367";"0";"1";"0";"-";"-"
"2021-07-21 16:18:21.000";"2021-07-21";"16:18:21";"F";"1368";"331";"1065";"0";"0.689";"0.0"
"2021-07-21 16:18:29.000";"2021-07-21";"16:18:29";"F";"1369";"328";"1044";"0";"0.686";"0.0"
"2021-07-21 16:18:36.000";"2021-07-21";"16:18:36";"F";"1370";"308";"1008";"0";"0.694";"0.0"
"2021-07-21 16:18:42.000";"2021-07-21";"16:18:42";"F";"1371";"385";"1206";"0";"0.681";"0.0"
"2021-07-21 16:18:49.000";"2021-07-21";"16:18:49";"F";"1372";"297";"1005";"0";"0.704";"0.0"
"2021-07-21 16:18:58.000";"2021-07-21";"16:18:58";"F";"1373";"333";"1098";"0";"0.697";"0.0"
"2021-07-21 16:19:05.000";"2021-07-21";"16:19:05";"F";"1374";"309";"975";"0";"0.683";"0.0"
"2021-07-21 16:19:11.000";"2021-07-21";"16:19:11";"F";"1375";"337";"1016";"0";"0.668";"0.0"
"2021-07-21 16:19:18.000";"2021-07-21";"16:19:18";"F";"1376";"317";"1020";"1";"0.689";"0.3"
"2021-07-21 16:19:24.000";"2021-07-21";"16:19:24";"F";"1377";"332";"1105";"0";"0.700";"0.0"
"2021-07-21 16:19:30.000";"2021-07-21";"16:19:30";"F";"1378";"342";"1001";"0";"0.658";"0.0"
"2021-07-21 16:19:36.000";"2021-07-21";"16:19:36";"F";"1379";"334";"1038";"0";"0.678";"0.0"
"2021-07-21 16:19:43.000";"2021-07-21";"16:19:43";"F";"1380";"272";"842";"0";"0.677";"0.0"
"2021-07-21 16:19:49.000";"2021-07-21";"16:19:49";"F";"1381";"354";"1113";"0";"0.682";"0.0"
"2021-07-21 16:19:55.000";"2021-07-21";"16:19:55";"F";"1382";"390";"1284";"0";"0.696";"0.0"
"2021-07-21 16:20:00.000";"2021-07-21";"16:20:00";"F";"1383";"255";"867";"0";"0.706";"0.0"
"2021-07-21 16:20:06.000";"2021-07-21";"16:20:06";"F";"1384";"290";"942";"0";"0.692";"0.0"
"2021-07-21 16:20:18.000";"2021-07-21";"16:20:18";"F";"1385";"272";"898";"0";"0.697";"0.0"
"2021-07-21 16:20:25.000";"2021-07-21";"16:20:25";"F";"1386";"296";"958";"0";"0.691";"0.0"
"2021-07-21 16:20:34.000";"2021-07-21";"16:20:34";"F";"1387";"382";"1235";"0";"0.691";"0.0"
